识别领域 语音识别领域
服务系统 服务系统运作
建模 气候建模
交互 交互路径
时间 时间递增
赛事组织 赛事组织形式
解析器 新域名解析器
动态 动态演化仿真
结构图 拓扑结构图
多感觉融合 多感觉融合增强
多媒体技术 分布式多媒体技术
抽象模 网络抽象模型
检查站 机场检查站
超级计算 超级计算环境
大规模分布 互联网大规模分布自治环境
云 手机后端云
网络试验 无线网络试验台
中文阅读理解数据集 理解数据
增量交互式数据网络 数据
界面 图形界面设计框架
模型 Distrib-模型
训练数据对模型 数据
自动扫描 室内场景自动扫描
安全 计算安全外包
资源 资源操作子语言
图像 眼底图像智能计算
教育 中国计算机教育
互联网 互联网通信协议
表 时间表示为树
操作系统低能耗 低能耗
学科 神经生理学
竞赛 诺基亚移动数据挖掘竞赛
声波信号 分析声波信号
科研课题 领域科研课题
数据存储 数据存储寄生
组织算法 自组织算法
协同工作 协同工作能力
项数排名 项数
探测 探测器
运算 图分析运算
破碎 破碎刚体断裂面
颠覆性计算机体系结构 颠覆性计算机体系结构创新
统计学 统计学界
算法 密钥初始化算法
期刊 在线期刊
互联网 互联网带宽
效率 软件开发效率
视频游戏 协同视频游戏
发展趋势 人工智能发展趋势
模型 复合实体仿真模型
软件质量 软件质量量化评价
语言编写 P4语言编写
人人网激活 人人网
菲涅尔区反射模型 菲涅尔区反射模型应用
缓存存储 缓存存储层次结构
蠕虫 蠕虫型勒索软件
句法分析 自然语言句法分析
区块链技术 区块链应用领域拓展区块链技术
方法论 服务方法论
物联网云计算系统 计算系统
现场可编程门阵列 现场可编程门阵列资源
背景 专题背景
知识图谱 知识图谱关系预测
协同机制 软件协同机制
算法容错 算法容错研究领域比较
物理 物理组件
方向 重用性
安全策略 操作系统安全策略
动态 动态移动
指挥决策能力 能力
修复 修复攻击行为
服务器 虚拟机服务器
数据 数据表明
能量 监控能量收集
数据存储 数据存储状态
编程 桌面系统编程员
方向 公正性
测量 大规模测量数据
人工神经网络 深层人工神经网络
编程模式 编程模式编写程序
动物视觉 动物视觉系统
Petri网 有界Petri网
基金 科学基金委员会
网页 网页搜集
方向 终端设备可靠性
数据市场 数据市场估值
思维 读取思维
保护用户数据 保护用户数据隐私
实时 准确实时
服务 服务互操作性封装方法
互连 树形互连
可编程网络 可编程网络硬件
k-均值聚类算法 聚类
描述 局部性描述
抽象模 软件定义抽象模型
软件系统 软件系统构件
线程 单线程集成式CPU芯片实现技术
计算硬件 量子计算硬件
算法 量子秘密共享算法
中国计算机学会协同计算专委会 中国计算机学会协同计算专委会组织
数据自适应 数据
学科 学科基础
速度 速度按词计算
应用 限制应用
理解 理解群体
计算机图形 计算机图形学学术
适应性 适应性结构
准确 诊断准确度
物联网 物联网应用系统综合设计
生成树 生成树协议
教育 研究生培养模式框架
网络技术 汽车网络技术
环境 模拟企业环境
数字化 电子数字化
预测 群体性预测
文字 语言文字
试错 试错馈改
跨媒体语义分析 语义
识别 识别临界点
量子 量子芯片
资源 资源高效利用
汽车计算平台 汽车计算平台工程
再工程 知识再工程
表 页表
峰值性能 峰值性能提升
参与者 称号
统一 统一评奖
方向 发散式
低功耗 低功耗广域网
网卡 以太网卡
信息服务 万维网信息服务
商媒 政学商媒
测量 三角测量法
海量数据 海量数据扩展
能量 采集能量
流程 流程软件
位置 修复位置
资源 资源实时
方向 空间时效性
云服务 云服务端
网络 复杂网络角度
移动网 移动网站
服务软件 上下文感知多媒体个性化服务软件平台
查询 布尔查询
标准化 标准化视角
通用领域 通用领域用户应用需求
方向 社交化
实验研究 实验研究平台
社交服务 社交服务网站
安全 安全审查制度
标准相继 标准
网络化 网络化存储
美国艺术 美国艺术与科学学院
产业界 产业界视点
国产数据库 国产数据库管理系统
智能汽车控制系统 智能汽车控制
赋能 角色形象赋能
汽车计算平台 汽车计算平台体系结构
隐含语义的自动索引 隐含语义
关键信息基础设施安全保护 关键信息基础设施
称号 计算实体所有者
默克尔 默克尔总理
掌控 小组掌控
分类器 分类器集合
协作 控制协作
系统定义 信息系统定义
应用 应用分离
称号 计算机科学家
保护用户个人数据 保护用户
人才 安全人才能力表
迭代 迭代编译优化
模糊查询 八类模糊查询
模型 生理生态模型
助力 信息技术助力转型升级
标记样本 标记样本比较
时期 分时操作系统时期
透明显示 透明显示空间
业务数据 生成业务数据
服务机 服务机社会技术系统
接口规范 构件接口规范
芯片 类脑芯片
空间导航路径动态规划 导航路径动态规划
证明 证明课题
表征学习 结构化表征学习
立体 虚拟立体图像
分布 缺陷类型分布
组织 组织形式和内容
特性 片上网络特性
恢复 恢复设备状态
青年科技奖 中国科协推荐中国青年科技奖
对密钥 算法对密钥
领域 城市规划领域
创立者 称号
互联网路由结构 互联网路由
通信 快速恢复通信
语音 语音失真
网系统 智能电网系统
形式 计算形式
知识图谱数据 管理知识图谱数据
委员会成员 委员会成员检查
相互影响 相互影响分析
传感器 社会传感器
组织 场景地形重构融合组织
指出 指出重点
调整 企业合作调整高校科研
图像 图像信息采集技术
隐喻 可视化隐喻
计算平台 计算平台抽象
模拟 计算方式模拟
客户端 处理客户端
教育 线上教学
量子 量子版本
行为 学术腐败行为
卷积 超分辨率卷积网络
体系结构 可信网络体系结构
交互式证明系统 交互式
网格 网格文件管理
科研 科研范式
政府管理大数据 大数据
物体 编辑物体
量子 量子点体系
能力认证 计算机软件能力认证
超文本 超文本标识语言
电荷 电荷耦合摄像机
智力循环能力 智力
状态 处理状态
数量 处理数量
计算环境 科学计算环境
管理系统 会员管理管理系统
课题 推荐课题
学科 物理声学
媒体 新闻媒体领域
优先 能耗优先
计算用户 云计算用户
椭圆曲线 椭圆曲线离散对数
人工智能领域 人工智能领域排名
软件 软件开发商
新闻 新闻渠道
演化 软件开发演化
直系黑猩猩 黑猩猩
内生 国内生产总值增长量
碎片化 存储碎片化
基于位置数据 数据
样式 样式cDNA芯片
模型 识别三维人体扫描模型
安全 安全数据库
汉盲双向翻译 汉盲
视频 填写视频
远离 远离客户
实时 实时或准实时
一致性协议特性优化片上网络 一致性协议
格式化文章 文章
信息领域 地理信息领域
代码 代码演化
云 云主机服务
有限自动 有限
模态 模态并发输入
参数 空间信息参数化
过滤 过滤范式
信息 业务术语描述业务活动相关信息
集成控制系统领域 集成控制系统
经济 制造经济
数据删除存储系统 数据
云存储平台 清华大学云存储平台
多核 多核多线程集成式CPU芯片
细粒度多线程 线程
系统数据 网络存储系统数据共享
通用 通用性质
权限 权限泄露
量化 量化用户
智能安全 智能安全运营
创新 创新奖章
负责 负责执行系统安全策略
编程接口 兼容编程接口
关系 社会等级结构关系
黑暗 黑暗空间
视觉特性抽取 特性
机制设计 互联网广告机制设计
市场 市场渠道
对抗生成网络 对抗生成网络模型实现迁移学习
计算模型 心理计算模型应用
多模态信息联合描述用户 描述用户
部手机 多部手机
音频样本 修改音频样本
图形处理器网格融合 处理器
